#EXPORTTYPE:                 ,DATA SINGLE                                                                        
#FILE:                       ,2024_03_13_Styrofoam-SCF3_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                           
#FTYPE:                      ,ANSI                                                                               
#IDENTITY:                   ,Styrofoam-SCF3                                                                     
#DECIMAL:                    ,POINT                                                                              
#SEPARATOR:                  ,COMMA                                                                              
#MTYPE:                      ,TG                                                                                 
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                  
#PROJECT:                    ,005a-E                                                                             
#DATE/TIME:                  ,3/13/2024 1:05:54 PM (UTC-4)                                                       
#CORR. FILE:                 ,                                                                                   
#TEMPCAL:                    ,28-06-2023 13:26                                                                   
#SENSITIVITY:                ,28-06-2023 13:53                                                                   
#LABORATORY:                 ,Tran/AAG                                                                           
#OPERATOR:                   ,Stanley                                                                            
#REMARK:                     ,                                                                                   
#SAMPLE:                     ,005a-F4                                                                            
#SAMPLE MASS /mg:            ,5.25                                                                               
#MATERIAL:                   ,                                                                                   
#REFERENCE:                  ,                                                                                   
#REFERENCE MASS /mg:         ,0                                                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                  
#DSC RANGE /µV:              ,5000                                                                               
#TG RANGE /mg:               ,35000                                                                              
#TAU-R:                      ,---                                                                                
#CORR. CODE:                 ,000                                                                                
#EXO:                        ,-1                                                                                 
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                                     
#SEGMENT:                    ,S1-5/5                                                                             
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                             
#SEG. 2:                     ,100°C/00:10/100°C                                                                  
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                            
#SEG. 4:                     ,350°C/04:00/350°C                                                                  
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                            

##Temp./°C,Time/min,Mass/%,Segment
 27.86000,  0.00000,    100.00000,1
 29.99000,  1.00000,    100.48267,1
 34.66900,  2.00000,     97.00476,1
 41.39300,  3.00000,     97.81276,1
 49.90400,  4.00000,     98.45067,1
 60.30300,  5.00000,     98.92686,1
 71.93700,  6.00000,     99.19181,1
 84.26229,  7.00000,     99.44573,2
 94.91595,  8.00000,     98.85356,2
101.35546,  9.00000,     97.52110,2
105.54479, 10.00000,     96.31156,2
108.34957, 11.00000,     95.04575,2
109.75368, 12.00000,     93.77360,2
109.93888, 13.00000,     92.73396,2
109.50313, 14.00000,     91.87891,2
108.61528, 15.00000,     91.21967,2
107.48284, 16.00000,     90.63118,2
106.26409, 17.00000,     90.15867,3
106.69574, 18.00000,     90.67598,3
111.28668, 19.00000,     91.66705,3
117.80398, 20.00000,     92.20649,3
126.33182, 21.00000,     92.71010,3
136.66761, 22.00000,     93.07638,3
148.03218, 23.00000,     93.22947,3
159.91382, 24.00000,     93.25086,3
171.90334, 25.00000,     93.11943,3
183.79395, 26.00000,     92.90610,3
195.45744, 27.00000,     92.67229,3
206.80168, 28.00000,     92.43429,3
217.79702, 29.00000,     92.19295,3
228.53833, 30.00000,     91.91718,3
239.01076, 31.00000,     91.66691,3
249.30666, 32.00000,     91.34792,3
259.47736, 33.00000,     91.03941,3
269.55331, 34.00000,     90.72374,3
279.55385, 35.00000,     90.22994,3
289.52166, 36.00000,     89.59858,3
299.43082, 37.00000,     88.76864,3
309.32382, 38.00000,     87.69674,3
319.20198, 39.00000,     86.44138,3
329.07181, 40.00000,     84.81577,3
338.96455, 41.00000,     82.91610,3
348.83441, 42.00000,     80.42820,4
352.66839, 43.00000,     76.89092,4
353.82146, 44.00000,     73.26902,4
354.58025, 45.00000,     69.64628,4
354.35009, 46.00000,     66.18526,4
353.90753, 47.00000,     62.82281,4
353.36262, 48.00000,     59.70233,4
352.80550, 49.00000,     56.79097,4
352.31358, 50.00000,     54.10154,4
351.88663, 51.00000,     51.61694,4
351.52359, 52.00000,     49.23473,4
351.23244, 53.00000,     47.07824,4
351.00241, 54.00000,     45.04031,4
350.79023, 55.00000,     43.16323,4
350.63267, 56.00000,     41.36284,4
350.51983, 57.00000,     39.63294,4
350.41115, 58.00000,     38.04984,4
350.32928, 59.00000,     36.53282,4
350.27156, 60.00000,     35.08933,4
350.20083, 61.00000,     33.76819,4
350.18668, 62.00000,     32.45256,4
350.13523, 63.00000,     31.22259,4
350.11378, 64.00000,     30.04019,4
350.08835, 65.00000,     28.94496,4
350.07823, 66.00000,     27.88766,4
350.06985, 67.00000,     26.88071,4
350.05085, 68.00000,     25.89803,4
350.04047, 69.00000,     25.02590,4
350.03280, 70.00000,     24.11667,4
350.03560, 71.00000,     23.29336,4
350.02791, 72.00000,     22.54132,4
350.03265, 73.00000,     21.75070,4
350.01753, 74.00000,     20.99820,4
350.02685, 75.00000,     20.30025,4
350.02709, 76.00000,     19.61556,4
350.02437, 77.00000,     18.92553,4
350.02417, 78.00000,     18.32442,4
350.00942, 79.00000,     17.71039,4
350.02836, 80.00000,     17.13277,4
350.02810, 81.00000,     16.58981,4
350.01598, 82.00000,     16.03371,4
350.02600, 83.00000,     15.55592,4
350.01189, 84.00000,     15.03798,4
350.02835, 85.00000,     14.54267,4
350.02611, 86.00000,     14.03407,4
350.02783, 87.00000,     13.60305,4
350.03811, 88.00000,     13.16279,4
350.02495, 89.00000,     12.72608,4
350.01633, 90.00000,     12.37257,4
350.02479, 91.00000,     11.97389,4
350.03157, 92.00000,     11.56903,4
350.02463, 93.00000,     11.19390,4
350.02940, 94.00000,     10.87714,4
350.03377, 95.00000,     10.53015,4
350.02671, 96.00000,     10.16171,4
350.04500, 97.00000,      9.84495,4
350.02851, 98.00000,      9.52590,4
350.02858, 99.00000,      9.24368,4
350.03080,100.00000,      8.95714,4
350.04175,101.00000,      8.63829,4
350.04515,102.00000,      8.35162,4
350.04651,103.00000,      8.07810,4
350.03907,104.00000,      7.84533,4
350.03784,105.00000,      7.57371,4
350.03297,106.00000,      7.31295,4
350.02277,107.00000,      7.04590,4
350.03437,108.00000,      6.83244,4
350.04132,109.00000,      6.61280,4
350.02569,110.00000,      6.35587,4
350.02204,111.00000,      6.15810,4
350.02293,112.00000,      5.94895,4
350.03744,113.00000,      5.74210,4
350.01970,114.00000,      5.51808,4
350.03500,115.00000,      5.33695,4
350.02432,116.00000,      5.11295,4
350.04064,117.00000,      4.92563,4
350.04217,118.00000,      4.75086,4
350.03286,119.00000,      4.58705,4
350.02983,120.00000,      4.42762,4
350.03226,121.00000,      4.23352,4
350.02856,122.00000,      4.08514,4
350.02164,123.00000,      3.92990,4
350.01637,124.00000,      3.75314,4
350.02327,125.00000,      3.59162,4
350.02709,126.00000,      3.43638,4
350.03663,127.00000,      3.30286,4
350.03143,128.00000,      3.15848,4
350.02711,129.00000,      3.02914,4
350.01861,130.00000,      2.87181,4
350.02650,131.00000,      2.74267,4
350.02524,132.00000,      2.59390,4
350.02660,133.00000,      2.46457,4
350.03740,134.00000,      2.33314,4
350.02371,135.00000,      2.25123,4
350.01943,136.00000,      2.12190,4
350.02390,137.00000,      2.01897,4
350.02173,138.00000,      1.90628,4
350.02019,139.00000,      1.78590,4
350.03649,140.00000,      1.70400,4
350.00699,141.00000,      1.54876,4
350.02523,142.00000,      1.44944,4
350.02441,143.00000,      1.34629,4
350.02063,144.00000,      1.26857,4
350.03005,145.00000,      1.16305,4
350.03687,146.00000,      1.03160,4
350.03146,147.00000,      0.97771,4
350.03293,148.00000,      0.89810,4
350.04018,149.00000,      0.80114,4
350.03094,150.00000,      0.69333,4
350.03709,151.00000,      0.66743,4
350.03009,152.00000,      0.55333,4
350.03983,153.00000,      0.44762,4
350.02851,154.00000,      0.39371,4
350.03097,155.00000,      0.34210,4
350.02438,156.00000,      0.26461,4
350.02460,157.00000,      0.18686,4
350.02888,158.00000,      0.11588,4
350.02792,159.00000, 2.533193e-02,4
350.01350,160.00000,-2.667043e-03,4
350.01859,161.00000,     -0.10838,4
350.02231,162.00000,     -0.14234,4
350.03647,163.00000,     -0.21390,4
350.03238,164.00000,     -0.25277,4
350.01763,165.00000,     -0.33029,4
350.02714,166.00000,     -0.40781,4
350.01933,167.00000,     -0.45962,4
350.02239,168.00000,     -0.48530,4
350.02788,169.00000,     -0.55762,4
350.02884,170.00000,     -0.61028,4
350.03073,171.00000,     -0.64914,4
350.02548,172.00000,     -0.72457,4
350.03857,173.00000,     -0.75695,4
350.03452,174.00000,     -0.78911,4
350.02561,175.00000,     -0.83447,4
350.03689,176.00000,     -0.86038,4
350.02982,177.00000,     -0.93143,4
350.02215,178.00000,     -0.95733,4
350.02993,179.00000,     -1.04133,4
350.02559,180.00000,     -1.05040,4
350.03001,181.00000,     -1.07577,4
350.03583,182.00000,     -1.15611,4
350.03440,183.00000,     -1.18133,4
350.02814,184.00000,     -1.23314,4
350.03163,185.00000,     -1.23314,4
350.02705,186.00000,     -1.31295,4
350.02969,187.00000,     -1.33206,4
350.02347,188.00000,     -1.34743,4
350.03814,189.00000,     -1.39467,4
350.03433,190.00000,     -1.40520,4
350.02100,191.00000,     -1.44648,4
350.02526,192.00000,     -1.48053,4
350.02329,193.00000,     -1.50686,4
350.03484,194.00000,     -1.52838,4
350.03786,195.00000,     -1.55429,4
350.02455,196.00000,     -1.60800,4
350.02237,197.00000,     -1.60800,4
350.03767,198.00000,     -1.66419,4
350.03027,199.00000,     -1.68990,4
350.03375,200.00000,     -1.68571,4
350.02724,201.00000,     -1.71840,4
350.02386,202.00000,     -1.72876,4
350.01624,203.00000,     -1.78038,4
350.01773,204.00000,     -1.78038,4
350.03099,205.00000,     -1.81923,4
350.03434,206.00000,     -1.83867,4
350.02523,207.00000,     -1.82571,4
350.02630,208.00000,     -1.88381,4
350.02007,209.00000,     -1.89676,4
350.02570,210.00000,     -1.91619,4
350.03422,211.00000,     -1.94402,4
350.03457,212.00000,     -1.93771,4
350.03112,213.00000,     -1.94419,4
350.04133,214.00000,     -1.96800,4
350.03808,215.00000,     -1.97010,4
350.03060,216.00000,     -2.00248,4
350.02902,217.00000,     -2.00667,4
350.03205,218.00000,     -2.06293,4
350.03042,219.00000,     -2.05200,4
350.03307,220.00000,     -2.08438,4
350.03516,221.00000,     -2.07790,4
350.03517,222.00000,     -2.09943,4
350.02567,223.00000,     -2.10362,4
350.02825,224.00000,     -2.10800,4
350.01787,225.00000,     -2.13390,4
350.03007,226.00000,     -2.13390,4
350.03010,227.00000,     -2.15981,4
350.03185,228.00000,     -2.16190,4
350.02389,229.00000,     -2.14895,4
350.02305,230.00000,     -2.15543,4
350.03071,231.00000,     -2.20288,4
350.04484,232.00000,     -2.19638,4
350.02341,233.00000,     -2.19638,4
350.03349,234.00000,     -2.17048,4
350.03492,235.00000,     -2.19638,4
350.03793,236.00000,     -2.22229,4
350.03757,237.00000,     -2.22876,4
350.03781,238.00000,     -2.23505,4
350.03465,239.00000,     -2.23576,4
350.03172,240.00000,     -2.23733,4
350.03786,241.00000,     -2.24381,4
350.03249,242.00000,     -2.25564,4
350.03987,243.00000,     -2.25038,4
350.03778,244.00000,     -2.27599,4
350.04300,245.00000,     -2.28038,4
350.02694,246.00000,     -2.25448,4
350.02997,247.00000,     -2.28038,4
350.03925,248.00000,     -2.26046,4
350.02678,249.00000,     -2.28735,4
350.02120,250.00000,     -2.27600,4
350.02761,251.00000,     -2.26324,4
350.03623,252.00000,     -2.28248,4
350.03271,253.00000,     -2.29968,4
350.02676,254.00000,     -2.27390,4
350.02232,255.00000,     -2.28686,4
350.03727,256.00000,     -2.28895,4
350.03123,257.00000,     -2.29124,4
350.03124,258.00000,     -2.31695,4
350.03000,259.00000,     -2.30419,4
350.03380,260.00000,     -2.28477,4
350.03722,261.00000,     -2.32101,4
350.04230,262.00000,     -2.32781,4
350.03656,263.00000,     -2.30190,4
350.03970,264.00000,     -2.32558,4
350.04122,265.00000,     -2.31276,4
350.03434,266.00000,     -2.31486,4
350.03709,267.00000,     -2.30191,4
350.03409,268.00000,     -2.31008,4
350.03309,269.00000,     -2.33176,4
350.04385,270.00000,     -2.34933,4
350.03789,271.00000,     -2.35790,4
350.02987,272.00000,     -2.35790,4
350.02614,273.00000,     -2.34607,4
350.03554,274.00000,     -2.37086,4
350.02749,275.00000,     -2.37086,4
350.03000,276.00000,     -2.34495,4
350.03469,277.00000,     -2.34461,4
350.04424,278.00000,     -2.35030,4
350.02882,279.00000,     -2.34286,4
350.03391,280.00000,     -2.34286,4
350.04503,281.00000,     -2.34495,4
349.99207,282.00000,     -2.34294,5
356.29293,283.00000,     -2.00882,5
364.69713,284.00000,     -1.69762,5
373.72288,285.00000,     -1.53764,5
383.87095,286.00000,     -1.33018,5
394.27540,287.00000,     -1.14595,5
404.78965,288.00000,     -0.95923,5
415.31318,289.00000,     -0.82708,5
425.74721,290.00000,     -0.69638,5
436.11791,291.00000,     -0.54487,5
446.39284,292.00000,     -0.45706,5
456.59028,293.00000,     -0.32294,5
466.74823,294.00000,     -0.24121,5
476.84824,295.00000,     -0.12927,5
486.91565,296.00000,-2.146384e-02,5
496.97216,297.00000, 7.633944e-02,5
506.98984,298.00000,      0.18411,5
517.00689,299.00000,      0.31702,5
526.99796,300.00000,      0.42577,5
536.99468,301.00000,      0.53411,5
546.97556,302.00000,      0.63763,5
556.96158,303.00000,      0.77417,5
566.94661,304.00000,      0.86061,5
576.93574,305.00000,      0.99175,5
586.90811,306.00000,      1.07441,5
596.90372,307.00000,      1.17977,5
606.90120,308.00000,      1.25654,5
616.89943,309.00000,      1.33730,5
626.91459,310.00000,      1.41727,5
636.89732,311.00000,      1.52318,5
646.90031,312.00000,      1.57569,5
656.90081,313.00000,      1.68486,5
666.89021,314.00000,      1.73693,5
676.89053,315.00000,      1.80862,5
686.90271,316.00000,      1.89397,5
696.91070,317.00000,      1.93944,5
706.92196,318.00000,      2.00417,5
716.92980,319.00000,      2.08208,5
726.92371,320.00000,      2.14757,5
736.93946,321.00000,      2.22302,5
746.95270,322.00000,      2.27573,5
756.95306,323.00000,      2.32832,5
766.96438,324.00000,      2.38472,5
776.95487,325.00000,      2.43762,5
786.95104,326.00000,      2.47649,5

